GDT_TS,Mean,StDev
45.2,18.98893422,0.109850621
61.11,15.23970103,1.925175476
63.55,15.27262579,0.960695996
69.12,13.47239712,1.160261908
72.11,11.1547308,0.818801266
80.34,10.33279448,0.035495561
82.3,10.95273556,0.419203689
83.9,10.86144773,0.195632973
84.12,10.58340063,0.027402162
85.9,9.848770081,0.432810321
86.28,8.885727498,0.144103578
87.37,8.851776037,0.097928135
87.5,8.45094819,0.120852766
87.63,8.437254607,0.055988924
89.49,9.012178852,0.209421987
90.39,8.881020029,0.167535814
90.48,8.237767522,0.257055422
90.7,7.210200123,0.306752957
90.72,7.392256217,0.254910365
91.1,7.122407507,0.236680907
92.18,7.171748206,0.079211305
92.66,7.175696239,0.02272913
93.28,7.350797484,0.103988252
93.84,7.249225138,0.066539184
96,7.267671408,0.082231515
96.45,6.954117435,0.236447367
96.81,6.573228362,0.048371259
97.57,6.527959742,0.024316703
98.08,6.212482821,0.176459354