GDT_TS,Median,
45.2,17.2721782,
61.11,14.3856212,
63.55,14.952104,
69.12,14.3499476,
72.11,12.3146889,
80.34,12.197728,
82.3,12.9430938,
83.9,12.4526259,
84.12,11.7718296,
85.9,11.2833046,
86.28,10.8900944,
87.37,10.3569575,
87.5,9.90665724,
87.63,9.90683173,
89.49,9.99036351,
90.39,9.82121422,
90.48,9.25029631,
90.7,8.77625912,
90.72,8.84900552,
91.1,8.71420993,
92.18,8.67950704,
92.66,8.81576822,
93.28,8.98369881,
93.84,8.97292705,
96,8.82219388,
96.45,8.44575037,
96.81,8.35116491,
97.57,8.18954431,
98.08,7.79910549,