GDT_TS,2-Jan,3-Jan,3-Feb
45.2,0.102756315,0.102726332,0.10292693
61.11,0.102819939,0.102883562,0.102726332
63.55,0.103055425,0.103569729,0.103676766
69.12,0.103479725,0.10350662,0.103429915
72.11,0.10319435,0.103249637,0.103249637
80.34,0.103155848,0.10345482,0.103604411
82.3,0.10350662,0.103479725,0.10350662
83.9,0.103155848,0.103032525,0.102819939
84.12,0.102669089,0.102685893,0.102412579
85.9,0.102714515,0.103032525,0.103249637
86.28,0.103055425,0.103310289,0.103479725
87.37,0.103637453,0.103604411,0.103637453
87.5,0.103429915,0.102989961,0.102714515
87.63,0.102669089,0.102412579,0.102204367
89.49,0.102330594,0.102330594,0.102412579
90.39,0.102741324,0.102883562,0.103310289
90.48,0.103155848,0.10319435,0.10345482
90.7,0.10319435,0.103304924,0.103155848
90.72,0.103479725,0.103637453,0.103735915
91.1,0.1036873,0.103942417,0.103970733
92.18,0.104028623,0.104377838,0.10456303
92.66,0.104370354,0.104028623,0.103962769
93.28,0.103942417,0.103968787,0.103970733
93.84,0.1036873,0.10357137,0.103479725
96,0.103304924,0.103086386,0.10319435
96.45,0.103032525,0.102883562,0.102726332
96.81,0.102558788,0.102204367,0.102204367
97.57,0.102067368,0.102227261,0.102431306
98.08,0.102412579,0.102726332,0.102756315